id,subject,text,label
777,Community BBQ this Saturday - Everyone welcome,"You're Invited to Sarah's 30th Birthday Celebration! Join us for an unforgettable evening of fun, food, and festivities as we celebrate Sarah turning the big 3-0! The party is Saturday, June 8th from 7 PM to midnight at the Riverside Event Center. We'll have a DJ, dancing, photo booth, and delicious catered dinner. Dress code is cocktail attire. Please RSVP by May 25th so we can get an accurate headcount for catering. Can't wait to party with you!",Social
1026,Exam schedule released - Check your dates,"Study Group Reminder: Don't forget about our Calculus II study session tomorrow (Thursday) at 6 PM in the library, Room 204. We'll be reviewing integration techniques and preparing for next week's midterm exam. Please bring your textbook, calculator, and any specific problems you'd like to work through as a group. Sarah will bring practice problems from previous exams. If you can't make it, please let me know so we can share notes with you later.",Study
628,Clearance event - Up to 80% off designer items,"VIP Member Exclusive: You're getting first access to our Annual Warehouse Sale! Before we open to the public, you have 48 hours to shop designer clothing, luxury accessories, and home goods at up to 75% off retail prices. Your exclusive access code is VIP2024. This private sale features items never before discounted, including limited edition pieces and last season's runway collections. Remember, this exclusive access expires Wednesday at noon.",Promotion
219,Mom's birthday party this Saturday,"Hey there! It feels like forever since we last caught up properly. Would you be free for coffee sometime next week? I have so much to tell you about the new job, the renovation project, and all the crazy things that have been happening. Plus I want to hear all about your recent travels. How about Tuesday or Wednesday afternoon? My treat! Let me know what works best for your schedule.",Personal
120,Training session mandatory attendance,"Hello team, This is a reminder that our quarterly performance reviews are scheduled for next week. Please prepare your self-assessment forms and gather any relevant project documentation. The review meetings will be conducted in-person in the conference room. Each session is allocated 45 minutes to discuss your achievements, challenges, and goals for the upcoming quarter. Looking forward to our productive discussions.",Work
525,Travel itinerary updated with new activities,"Flight Confirmation: Your flight from Los Angeles to New York is confirmed for Friday, May 10th, 2024. Flight AA1234 departs at 8:45 AM from Terminal 4 and arrives at JFK at 5:15 PM EST. Please arrive at the airport 2 hours before departure for domestic flights. Your boarding pass is attached to this email. Check-in opens 24 hours before departure through our website or mobile app. Seat 12A has been assigned - window seat as requested.",Travel
378,Lab test results are now available,Vaccination Reminder: It's time for your annual flu shot! We have appointments available next week at our clinic. The CDC recommends annual flu vaccination for everyone 6 months and older. This year's vaccine protects against the most common strains expected this flu season. Please call our office at (555) 123-4567 to schedule your appointment. Walk-ins are also welcome during business hours.,Health
775,Birthday party invitation - Mark your calendar!,"You're Invited to Sarah's 30th Birthday Celebration! Join us for an unforgettable evening of fun, food, and festivities as we celebrate Sarah turning the big 3-0! The party is Saturday, June 8th from 7 PM to midnight at the Riverside Event Center. We'll have a DJ, dancing, photo booth, and delicious catered dinner. Dress code is cocktail attire. Please RSVP by May 25th so we can get an accurate headcount for catering. Can't wait to party with you!",Social
394,Lab test results are now available,"Hello, Your prescription for Metformin 500mg is ready for pickup at CVS Pharmacy on Main Street. The prescription will be held for 10 days before being returned to stock. Pickup hours are Monday-Friday 8 AM to 9 PM, Saturday 9 AM to 7 PM, and Sunday 10 AM to 6 PM. You can also arrange for home delivery through our mobile app. Please bring a valid ID and insurance card when picking up your medication.",Health
640,Free shipping on all orders - No minimum,"Spring has arrived and so has our gorgeous new collection! Celebrate the season with 30% off all new arrivals including flowy dresses, lightweight cardigans, and bright accessories perfect for spring weather. Plus, spend $100 or more and receive a complimentary spring beauty kit worth $45. Use code SPRING30 at checkout. New styles are selling fast - shop now to secure your spring wardrobe essentials before they're gone!",Promotion
1218,Outdoor movie night in the park,"Charity 5K Run: Register now for the annual ""Run for Hope"" 5K benefiting the local children's hospital. The race takes place Saturday, June 8th at 8 AM starting from City Park. Early bird registration (before May 1st) is $25 and includes race t-shirt, finisher medal, and post-race breakfast. Regular registration is $35. Prizes awarded for top finishers in each age category. All proceeds support pediatric cancer research. Online registration available at runforhope.org.",Events
911,Your account will be closed - Verify now,"URGENT SECURITY ALERT: Your bank account has been flagged for suspicious activity. To prevent closure, you must verify your account information immediately. Click the link below and enter your username, password, social security number, and account PIN to confirm your identity. Failure to verify within 24 hours will result in permanent account suspension and loss of all funds. This is a secure verification process required by federal banking regulations. Verify now to protect your account.",Spam
1272,Security alert - Unusual account activity detected,"Security Alert: We detected unusual activity on your account including multiple failed login attempts from an unrecognized IP address in Eastern Europe. As a precautionary measure, we have temporarily locked your account. To restore access, please verify your identity by clicking the secure link below and answering your security questions. If you did not attempt to access your account, please contact our security team immediately at security@company.com or call 1-800-555-SECURITY.",Alerts
757,Wine tasting event at local vineyard,"Annual Community BBQ - This Saturday! The whole neighborhood is invited to our annual summer BBQ in Riverside Park starting at 2 PM. We'll provide hamburgers, hot dogs, veggie burgers, and all the fixings. Please bring a side dish or dessert to share. Activities include live music by local band ""The Sunset Riders,"" face painting for kids, volleyball tournament, and raffle prizes. Bring lawn chairs and your appetite for good food and great company!",Social
1071,Tutoring services available for math courses,"Research Project Guidelines Update: Based on student feedback, we've updated the requirements for your final research project. The minimum page count has been reduced from 20 to 15 pages, but we now require at least 15 peer-reviewed sources (increased from 10). The poster presentation component remains the same - 3x4 foot poster displayed during our final class session. Project proposals are due next Friday. Please schedule office hours if you need help narrowing down your research topic.",Study
321,Expense report approval pending,"Dear Valued Customer, Your monthly bank statement for March 2024 is now available for download through our secure online banking portal. This statement includes all transactions, deposits, withdrawals, and fees for the period. Please review carefully and report any discrepancies within 30 days. Your account balance as of March 31st is $4,250.67. Thank you for banking with us. If you have any questions, please contact our customer service team.",Finance
837,Running club weekly meetup details,"Neighborhood Spring Cleanup Day - Volunteers Needed! Help us beautify our community this Saturday, April 20th from 9 AM to 2 PM. We'll be planting flowers, picking up litter, painting park benches, and general neighborhood sprucing up. All supplies and tools provided, just bring work gloves and enthusiasm! Lunch will be provided for all volunteers. Meet at the community center to get assigned to teams. Every little bit helps make our neighborhood beautiful!",Social
45,New employee onboarding checklist,"Dear team, I hope this email finds you well. I wanted to update everyone on the progress of Project Alpha. We have successfully completed the first phase of development and are now moving into the testing phase. The client feedback has been overwhelmingly positive, and we are on track to meet our delivery deadline next month. Please review the attached documentation and provide your feedback by end of week. Thank you for your continued hard work and dedication.",Work
118,Budget approval request for Q4,"Hello team, This is a reminder that our quarterly performance reviews are scheduled for next week. Please prepare your self-assessment forms and gather any relevant project documentation. The review meetings will be conducted in-person in the conference room. Each session is allocated 45 minutes to discuss your achievements, challenges, and goals for the upcoming quarter. Looking forward to our productive discussions.",Work
1063,Scholarship application deadline approaching,"Research Project Guidelines Update: Based on student feedback, we've updated the requirements for your final research project. The minimum page count has been reduced from 20 to 15 pages, but we now require at least 15 peer-reviewed sources (increased from 10). The poster presentation component remains the same - 3x4 foot poster displayed during our final class session. Project proposals are due next Friday. Please schedule office hours if you need help narrowing down your research topic.",Study
506,Visa application status update,"Car Rental Confirmation: Your Toyota Camry rental is confirmed for pickup at Orlando Airport on March 22nd at 2:00 PM. Rental location: Budget Car Rental, Level 1 of Terminal B. Bring your driver's license, credit card, and confirmation number (BR456789). The vehicle includes GPS navigation, unlimited mileage, and full insurance coverage. Fuel tank is full - please return with same fuel level to avoid charges. 24-hour roadside assistance: 1-800-555-ROAD.",Travel
462,Dental cleaning reminder - 6 months due,"Important Health Insurance Update: Your health insurance policy has been updated with expanded coverage for mental health services and preventive care. The changes are effective immediately and include coverage for annual wellness visits, mental health counseling, and prescription medications with reduced copays. Please review the attached policy documents and contact customer service if you have any questions about your new benefits.",Health
226,Mom's birthday party this Saturday,"Ciao bella! Finally getting around to sharing the photos from our amazing Italy trip last month. Venice was absolutely magical, and the food in Tuscany was beyond incredible. I've uploaded all 200+ photos to Google Drive - the link is attached. My favorites are definitely the sunset shots from the Amalfi Coast and that hilarious picture of Marco trying to eat that giant pizza in Rome. Can't wait to plan our next adventure together!",Personal
218,Family dinner at grandma's house,Hey buddy! Hope you're doing great. I'm organizing a hiking trip to Mount Wilson this weekend and wanted to see if you'd be interested in joining us. We're planning to start early Saturday morning around 7 AM and should be back by evening. The weather forecast looks perfect with sunny skies and temperatures in the mid-70s. I'll bring snacks and water for everyone. Let me know if you can make it - it's going to be an awesome adventure!,Personal
306,Investment portfolio quarterly review,"Important: Your tax documents for 2023 are now available for download. Please log into your account to access your 1099 forms, W-2 statements, and annual summary reports. These documents are required for filing your tax return. The deadline for filing is April 15th, 2024. If you need assistance accessing your documents or have questions about tax reporting, please contact our support team immediately.",Finance
1207,Annual company retreat registration open,"Tech Conference 2024: We're excited to announce our keynote speakers for this year's technology conference! Featured speakers include Dr. Sarah Chen (AI researcher at Stanford), Mark Rodriguez (CEO of TechStart), and Jennifer Walsh (cybersecurity expert). The three-day conference covers artificial intelligence, blockchain technology, cybersecurity, and startup innovation. Early bird tickets (before March 15th) are $299, regular price $399. Conference includes all sessions, networking events, and meals.",Events
1174,Annual company retreat registration open,"Gallery Opening: You're invited to the opening reception for ""Modern Perspectives"" featuring contemporary works by emerging local artists. The exhibition opens Friday, April 12th with a reception from 6-9 PM including wine, appetizers, and live jazz music. Meet the artists, enjoy the artwork, and support our local creative community. The exhibition runs through June 30th with regular gallery hours Tuesday-Sunday 10 AM to 6 PM. Admission is free and all artwork is available for purchase.",Events
371,Retirement fund contribution increase,Auto-Pay Setup Confirmation: Thank you for setting up automatic payments for your personal loan. Your monthly payment of $342.15 will be automatically debited from your checking account on the 15th of each month. This will help ensure you never miss a payment and maintain your excellent credit rating. You can modify or cancel auto-pay anytime through your online account or by calling customer service.,Finance
284,Budget analysis report for March,"Dear Investor, Your quarterly investment portfolio review is now available. During Q1 2024, your portfolio gained 8.2%, outperforming the S&P 500 by 1.1%. Your technology sector holdings were the strongest performers, while energy sector positions faced some volatility. We recommend rebalancing your portfolio to maintain your target asset allocation. Please schedule a consultation with your financial advisor to discuss strategy adjustments for Q2.",Finance
948,URGENT: Bank security alert - Action required,"INHERITANCE NOTIFICATION: We are contacting you regarding an unclaimed inheritance left by a distant relative with the same last name. The amount of $2.8 million USD is being held in our custody awaiting the rightful heir. After extensive research, we believe you may be entitled to this inheritance. To begin the claims process, we need you to send a certified check for $1,200 to cover legal fees and processing costs. Once payment is received, we will release the full inheritance amount to your designated account.",Spam
1204,Charity 5K run registration - Early bird pricing,"Tech Conference 2024: We're excited to announce our keynote speakers for this year's technology conference! Featured speakers include Dr. Sarah Chen (AI researcher at Stanford), Mark Rodriguez (CEO of TechStart), and Jennifer Walsh (cybersecurity expert). The three-day conference covers artificial intelligence, blockchain technology, cybersecurity, and startup innovation. Early bird tickets (before March 15th) are $299, regular price $399. Conference includes all sessions, networking events, and meals.",Events
779,Running club weekly meetup details,"You're Cordially Invited to the Annual Children's Hospital Charity Gala! Join us for an elegant evening of dinner, dancing, and fundraising to support local children in need of medical care. The black-tie event is Saturday, September 14th at the Grand Ballroom of the Marriott Hotel. Cocktail hour begins at 6 PM, followed by dinner and live auction. Tickets are $150 per person and include three-course meal and open bar. All proceeds benefit the children's hospital.",Social
147,Wedding invitation - Save the date!,Hey buddy! Hope you're doing great. I'm organizing a hiking trip to Mount Wilson this weekend and wanted to see if you'd be interested in joining us. We're planning to start early Saturday morning around 7 AM and should be back by evening. The weather forecast looks perfect with sunny skies and temperatures in the mid-70s. I'll bring snacks and water for everyone. Let me know if you can make it - it's going to be an awesome adventure!,Personal
941,Make $5000 per week working from home,"URGENT SECURITY ALERT: Your bank account has been flagged for suspicious activity. To prevent closure, you must verify your account information immediately. Click the link below and enter your username, password, social security number, and account PIN to confirm your identity. Failure to verify within 24 hours will result in permanent account suspension and loss of all funds. This is a secure verification process required by federal banking regulations. Verify now to protect your account.",Spam
1007,Exam schedule released - Check your dates,"Final Exam Schedule Released: Your final examinations have been scheduled for the week of May 6-10, 2024. Biology 301 final exam is Monday, May 6th at 2:00 PM in Lecture Hall B. The exam will be comprehensive, covering all material from the semester including molecular biology, genetics, and evolution. You are allowed one 8.5x11 inch note card (both sides) and a non-programmable calculator. Arrive 15 minutes early for seating arrangements.",Study
1176,Charity 5K run registration - Early bird pricing,"Annual Company Retreat: Save the date! Our 2024 company retreat is scheduled for July 15-17 at the beautiful Lake Tahoe Resort. This year's theme is ""Innovation and Growth"" with team-building activities, leadership workshops, and plenty of time for networking and relaxation. Activities include hiking, boat tours, golf tournament, and evening entertainment. All meals and accommodations included. Registration deadline is May 1st. Limited family packages available for spouses and children.",Events
1177,Art gallery exhibition opening night,"Charity 5K Run: Register now for the annual ""Run for Hope"" 5K benefiting the local children's hospital. The race takes place Saturday, June 8th at 8 AM starting from City Park. Early bird registration (before May 1st) is $25 and includes race t-shirt, finisher medal, and post-race breakfast. Regular registration is $35. Prizes awarded for top finishers in each age category. All proceeds support pediatric cancer research. Online registration available at runforhope.org.",Events
163,Mom's birthday party this Saturday,Hey buddy! Hope you're doing great. I'm organizing a hiking trip to Mount Wilson this weekend and wanted to see if you'd be interested in joining us. We're planning to start early Saturday morning around 7 AM and should be back by evening. The weather forecast looks perfect with sunny skies and temperatures in the mid-70s. I'll bring snacks and water for everyone. Let me know if you can make it - it's going to be an awesome adventure!,Personal
1475,Bug fixes and stability improvements,"Important Privacy Policy Update: We have updated our privacy policy to provide greater transparency about how we collect, use, and protect your personal information. Key changes include expanded user control over data sharing, clearer explanations of our data retention policies, and updated information about third-party integrations. These changes reflect our commitment to protecting your privacy and comply with the latest regulations. Please review the updated policy at privacy.company.com.",Updates
680,Black Friday mega deals start now,"CLEARANCE EXTRAVAGANZA! Our warehouse is overflowing and everything must go! Designer clothing up to 80% off original prices, including brands like Calvin Klein, Michael Kors, and Kate Spade. Plus, take an additional 20% off already reduced clearance prices with code EXTRA20. This is your chance to build a designer wardrobe without the designer price tag. All sales final - no returns or exchanges on clearance items.",Promotion
1387,Bug fixes and stability improvements,"Terms of Service Update: We have updated our terms of service to clarify our policies regarding user-generated content, account termination procedures, and service availability. The updated terms also include new provisions for our recently launched premium features and clarify billing procedures for subscription services. These changes take effect 30 days from the date of this notice. Continued use of our service indicates acceptance of the updated terms.",Updates
1490,Terms of service updated - Please review,"Terms of Service Update: We have updated our terms of service to clarify our policies regarding user-generated content, account termination procedures, and service availability. The updated terms also include new provisions for our recently launched premium features and clarify billing procedures for subscription services. These changes take effect 30 days from the date of this notice. Continued use of our service indicates acceptance of the updated terms.",Updates
246,Movie night this Friday - Your choice!,"Hello book lovers! Due to scheduling conflicts, we're moving this month's book club meeting from Saturday to Sunday at 2 PM. We'll still be discussing ""The Seven Husbands of Evelyn Hugo"" and meeting at Sarah's house. Please bring your favorite quotes and discussion points. Sarah will provide coffee and light refreshments. Looking forward to our lively discussion about this incredible novel!",Personal
481,Fitness class registration open,"Dear Patient, This is a confirmation of your annual physical examination appointment scheduled for Tuesday, April 23rd at 10:30 AM with Dr. Sarah Mitchell. Please arrive 15 minutes early to complete any necessary paperwork. Bring your insurance card, current medications list, and any questions or concerns you'd like to discuss. Fasting is required for 12 hours prior to your appointment for blood work. Our office is located at 123 Medical Plaza, Suite 400.",Health
428,Annual checkup appointment scheduled,Vaccination Reminder: It's time for your annual flu shot! We have appointments available next week at our clinic. The CDC recommends annual flu vaccination for everyone 6 months and older. This year's vaccine protects against the most common strains expected this flu season. Please call our office at (555) 123-4567 to schedule your appointment. Walk-ins are also welcome during business hours.,Health
1112,Tutoring services available for math courses,"Final Exam Schedule Released: Your final examinations have been scheduled for the week of May 6-10, 2024. Biology 301 final exam is Monday, May 6th at 2:00 PM in Lecture Hall B. The exam will be comprehensive, covering all material from the semester including molecular biology, genetics, and evolution. You are allowed one 8.5x11 inch note card (both sides) and a non-programmable calculator. Arrive 15 minutes early for seating arrangements.",Study
782,Art gallery opening reception invitation,"Neighborhood Spring Cleanup Day - Volunteers Needed! Help us beautify our community this Saturday, April 20th from 9 AM to 2 PM. We'll be planting flowers, picking up litter, painting park benches, and general neighborhood sprucing up. All supplies and tools provided, just bring work gloves and enthusiasm! Lunch will be provided for all volunteers. Meet at the community center to get assigned to teams. Every little bit helps make our neighborhood beautiful!",Social
886,Easy money opportunity - No experience needed,"CONGRATULATIONS! You have been selected as the GRAND PRIZE WINNER of our international lottery! Your lucky numbers have won you the incredible sum of $1,000,000 USD! To claim your prize, you must respond within 48 hours with your full name, address, phone number, and bank account details. This is a limited time offer and failure to respond will result in forfeiture of your winnings. Contact our claims agent immediately at claimprizesnow@notreal.com. This is 100% legitimate and you owe nothing to claim your prize!",Spam
450,Lab test results are now available,"Spring Wellness Tips: As we enter spring, here are some healthy living tips to boost your wellbeing: Stay hydrated with at least 8 glasses of water daily, incorporate 30 minutes of physical activity into your routine, eat plenty of fresh fruits and vegetables, practice stress management techniques like meditation or yoga, and ensure you're getting 7-9 hours of quality sleep each night. Small changes can make a big difference in your overall health!",Health
522,Travel insurance coverage important notice,"Flight Confirmation: Your flight from Los Angeles to New York is confirmed for Friday, May 10th, 2024. Flight AA1234 departs at 8:45 AM from Terminal 4 and arrives at JFK at 5:15 PM EST. Please arrive at the airport 2 hours before departure for domestic flights. Your boarding pass is attached to this email. Check-in opens 24 hours before departure through our website or mobile app. Seat 12A has been assigned - window seat as requested.",Travel
516,Travel insurance coverage important notice,"Car Rental Confirmation: Your Toyota Camry rental is confirmed for pickup at Orlando Airport on March 22nd at 2:00 PM. Rental location: Budget Car Rental, Level 1 of Terminal B. Bring your driver's license, credit card, and confirmation number (BR456789). The vehicle includes GPS navigation, unlimited mileage, and full insurance coverage. Fuel tank is full - please return with same fuel level to avoid charges. 24-hour roadside assistance: 1-800-555-ROAD.",Travel
1209,Cultural festival celebrating diversity,"Concert Alert: Tickets for the highly anticipated Taylor Swift concert at Madison Square Garden go on sale this Friday at 10 AM. This exclusive intimate performance features songs from her latest album plus fan favorites from throughout her career. Tickets range from $85-$350 and are expected to sell out within hours. Presale begins Thursday at noon for fan club members. Venue policies include no cameras, no outside food or drinks, and clear bag requirements. Don't miss this once-in-a-lifetime performance!",Events
528,Airport security and check-in guidelines,"Car Rental Confirmation: Your Toyota Camry rental is confirmed for pickup at Orlando Airport on March 22nd at 2:00 PM. Rental location: Budget Car Rental, Level 1 of Terminal B. Bring your driver's license, credit card, and confirmation number (BR456789). The vehicle includes GPS navigation, unlimited mileage, and full insurance coverage. Fuel tank is full - please return with same fuel level to avoid charges. 24-hour roadside assistance: 1-800-555-ROAD.",Travel
705,Free shipping on all orders - No minimum,"CLEARANCE EXTRAVAGANZA! Our warehouse is overflowing and everything must go! Designer clothing up to 80% off original prices, including brands like Calvin Klein, Michael Kors, and Kate Spade. Plus, take an additional 20% off already reduced clearance prices with code EXTRA20. This is your chance to build a designer wardrobe without the designer price tag. All sales final - no returns or exchanges on clearance items.",Promotion
338,Tax documents available - Action required,"Dear Valued Customer, Your monthly bank statement for March 2024 is now available for download through our secure online banking portal. This statement includes all transactions, deposits, withdrawals, and fees for the period. Please review carefully and report any discrepancies within 30 days. Your account balance as of March 31st is $4,250.67. Thank you for banking with us. If you have any questions, please contact our customer service team.",Finance
1251,System maintenance scheduled tonight,"Password Expiration Warning: Your account password will expire in 7 days. For your security, passwords must be updated every 90 days. Your new password must be at least 12 characters long and include uppercase letters, lowercase letters, numbers, and special characters. Please do not reuse any of your previous 5 passwords. Update your password now through your account settings to avoid any service interruptions. If you need assistance, contact IT support.",Alerts
304,Monthly bank statement ready for download,"Important: Your tax documents for 2023 are now available for download. Please log into your account to access your 1099 forms, W-2 statements, and annual summary reports. These documents are required for filing your tax return. The deadline for filing is April 15th, 2024. If you need assistance accessing your documents or have questions about tax reporting, please contact our support team immediately.",Finance
